Time,KurKure,Hide&Seek,Pepsi,Sprite,Mirinda,Coke,Lays,Kelloggs
2019-07-11 11:34,0,0,0,0,0,0,1,0
2019-07-11 11:34,0,0,0,1,0,0,1,0
2019-07-11 11:35,0,0,0,1,0,0,0,0
2019-07-11 11:36,0,0,0,1,0,0,0,0
2019-07-11 11:37,0,0,0,1,0,0,0,0
2019-07-11 11:38,0,0,0,1,0,0,0,0
2019-07-11 11:39,0,0,0,1,0,0,0,0
2019-07-11 11:40,0,0,0,1,0,0,0,0
2019-07-11 11:41,0,0,0,1,0,0,0,0
2019-07-11 11:42,0,0,0,1,0,0,0,0
2019-07-11 11:43,0,0,0,1,0,0,0,0
2019-07-11 11:45,0,0,0,1,0,0,0,0
2019-07-11 11:46,0,0,0,1,0,0,0,0
2019-07-11 11:47,0,0,0,1,0,0,0,0
2019-07-11 11:49,0,0,0,1,0,0,0,0
2019-07-11 11:50,0,0,0,1,0,0,0,0
2019-07-11 11:51,0,0,0,1,0,0,0,0
2019-07-11 11:53,0,0,0,1,0,0,0,0
